"id","levl_code","nuts_id","cntr_code","name_latn","nuts_name"
"ES63",2,"ES63","ES","Ciudad Autónoma de Ceuta","Ciudad Autónoma de Ceuta"
"ES64",2,"ES64","ES","Ciudad Autónoma de Melilla","Ciudad Autónoma de Melilla"
"ES70",2,"ES70","ES","Canarias","Canarias"
"FRY1",2,"FRY1","FR","Guadeloupe","Guadeloupe"
"FRY2",2,"FRY2","FR","Martinique","Martinique"
"FRY3",2,"FRY3","FR","Guyane","Guyane"
"FRY4",2,"FRY4","FR","La Réunion","La Réunion"
"FRY5",2,"FRY5","FR","Mayotte","Mayotte"
"PT20",2,"PT20","PT","Região Autónoma dos Açores","Região Autónoma dos Açores"
"PT30",2,"PT30","PT","Região Autónoma da Madeira","Região Autónoma da Madeira"
